date,type,amount
2020-07-16,CashOnHand,43195.47
2020-07-16,CashOnHand,41900.01
2020-07-16,CashOnHand,40587.33
2020-07-16,CashOnHand,39229.45
2020-07-22,CashOnHand,39153.74
2020-07-24,CashOnHand,39098.24
2020-07-27,CashOnHand,39081.59
2020-07-29,CashOnHand,38610.59
2020-07-30,CashOnHand,35110.59
2020-08-01,CashOnHand,35110.59
2020-08-01,CashOnHand,35096.67
2020-08-03,CashOnHand,35093.54
2020-08-03,CashOnHand,35067.68
2020-08-03,CashOnHand,35054.71
2020-08-05,CashOnHand,35008.76
2020-08-10,CashOnHand,34974.05
2020-08-15,CashOnHand,32961.07
2020-08-15,CashOnHand,30955.42
2020-08-15,CashOnHand,28946.66
2020-08-17,CashOnHand,27604.03
2020-08-17,CashOnHand,26308.57
2020-08-17,CashOnHand,24995.89
2020-08-17,CashOnHand,23638.01
2020-08-20,CashOnHand,23621.36
2020-08-28,CashOnHand,23516.87
2020-08-28,CashOnHand,23454.38
2020-08-28,CashOnHand,23338.52
2020-08-31,CashOnHand,23118.12
2020-08-31,CashOnHand,23079.12
2020-09-01,CashOnHand,23079.12
2020-09-01,CashOnHand,23065.2
2020-09-01,CashOnHand,23133.62
2020-09-02,CashOnHand,23115.36
2020-09-02,CashOnHand,23022.93
2020-09-03,CashOnHand,22997.07
2020-09-07,CashOnHand,22685.69
2020-09-08,CashOnHand,22644.09
2020-09-09,CashOnHand,22620.42
2020-09-10,CashOnHand,22391.9
2020-09-11,CashOnHand,22279.95
2020-09-14,CashOnHand,21027.12
2020-09-15,CashOnHand,21006.12
2020-09-15,CashOnHand,19000.47
2020-09-15,CashOnHand,16991.71
2020-09-15,CashOnHand,14978.73
2020-09-15,CashOnHand,13683.27
2020-09-15,CashOnHand,12370.59
2020-09-15,CashOnHand,10991.19
2020-09-15,CashOnHand,9648.56
2020-09-15,CashOnHand,9584.43
2020-09-16,CashOnHand,9330.98
2020-09-16,CashOnHand,3330.98
2020-09-16,CashOnHand,3226.28
2020-09-16,CashOnHand,3173.84
2020-09-16,CashOnHand,3099.6
2020-09-18,CashOnHand,3094.73
2020-09-18,CashOnHand,3062.63
2020-09-21,CashOnHand,2884.59
2020-09-23,CashOnHand,2754.46
2020-09-25,CashOnHand,2745.72
2020-10-01,CashOnHand,2745.72
2020-10-01,CashOnHand,2731.8
2020-10-02,CashOnHand,2707.26
2020-10-02,CashOnHand,2539.06
2020-10-05,CashOnHand,2513.2
2020-10-05,CashOnHand,2499.28
2020-10-05,CashOnHand,2477.8
2020-10-06,CashOnHand,2357.8
2020-10-06,CashOnHand,2336.85
2020-10-07,CashOnHand,2295.25
2020-10-09,CashOnHand,2269.16
2020-10-12,CashOnHand,2216.53
2020-10-12,CashOnHand,32224.03
2020-10-15,CashOnHand,30211.05
2020-10-15,CashOnHand,25587.98
2020-10-15,CashOnHand,22150.13
2020-10-16,CashOnHand,20854.67
2020-10-16,CashOnHand,17417.32
2020-10-16,CashOnHand,15015.58
2020-10-16,CashOnHand,11319.49
2020-10-19,CashOnHand,11302.71
2020-10-22,CashOnHand,11228.47
2020-10-26,CashOnHand,11219.82
2020-10-26,CashOnHand,11136.97
2020-10-30,CashOnHand,53208.51
2020-11-01,CashOnHand,53208.51
2020-11-01,CashOnHand,53194.59
2020-11-02,CashOnHand,53149.37
2020-11-02,CashOnHand,53125.98
2020-11-02,CashOnHand,53261.77
2020-11-03,CashOnHand,53235.91
2020-11-06,CashOnHand,53200.76
2020-11-09,CashOnHand,53190.16
2020-11-10,CashOnHand,53093.96
2020-11-11,CashOnHand,52997.66
2020-11-11,CashOnHand,52933.66
2020-11-15,CashOnHand,50920.68
2020-11-16,CashOnHand,50915.99
2020-11-16,CashOnHand,49958.99
2020-11-17,CashOnHand,49509.66
2020-11-17,CashOnHand,48214.2
2020-11-20,CashOnHand,48195.38
2020-11-20,CashOnHand,48121.14
2020-11-23,CashOnHand,48112.51
2020-11-25,CashOnHand,48103.87
2020-11-29,CashOnHand,45727.61
2020-11-29,CashOnHand,44077.61
2020-12-01,CashOnHand,43427.61
2020-12-01,CashOnHand,43427.61
2020-12-01,CashOnHand,43413.69
2020-12-02,CashOnHand,43370.14
2020-12-03,CashOnHand,43344.28
2020-12-07,CashOnHand,43324.93
2020-12-08,CashOnHand,43291.9
2020-12-09,CashOnHand,43275.01
2020-12-15,CashOnHand,41262.03
2020-12-15,CashOnHand,39651.1
2020-12-15,CashOnHand,39633.61
2020-12-15,CashOnHand,110671.03
2020-12-16,CashOnHand,110654.19
2020-12-16,CashOnHand,110628.75
2020-12-16,CashOnHand,110585.18
2020-12-16,CashOnHand,108070.21
2020-12-16,CashOnHand,106769.5
2020-12-17,CashOnHand,106440.5
2020-12-17,CashOnHand,106436.25
2020-12-18,CashOnHand,106928.25
2020-12-18,CashOnHand,107420.25
2020-12-18,CashOnHand,109880.24
2020-12-22,CashOnHand,109806
2020-12-24,CashOnHand,109764.03
2020-12-28,CashOnHand,109755.64
2021-01-01,CashOnHand,109105.64
2021-01-01,CashOnHand,109105.64
2021-01-01,CashOnHand,109091.72
2021-01-04,CashOnHand,109049.16
2021-01-04,CashOnHand,108994.33
2021-01-04,CashOnHand,108969.12
2021-01-04,CashOnHand,108925.12
2021-01-04,CashOnHand,108881.12
2021-01-04,CashOnHand,108835.12
2021-01-04,CashOnHand,108789.12
2021-01-06,CashOnHand,108770.4
2021-01-07,CashOnHand,108705.67
2021-01-11,CashOnHand,108689.01
2021-01-12,CashOnHand,108674.01
2021-01-15,CashOnHand,106661.03
2021-01-15,CashOnHand,106611.13
2021-01-15,CashOnHand,106562.91
2021-01-15,CashOnHand,106533.01
2021-01-15,CashOnHand,106508.03
2021-01-15,CashOnHand,106478.55
2021-01-15,CashOnHand,102714.46
2021-01-18,CashOnHand,102697.62
2021-01-18,CashOnHand,101376.32
2021-01-18,CashOnHand,99728.25
2021-01-18,CashOnHand,99521.08
2021-01-20,CashOnHand,99516.85
2021-01-22,CashOnHand,99499.65
2021-01-22,CashOnHand,99442.17
2021-01-22,CashOnHand,99054
2021-01-22,CashOnHand,99083.9
2021-01-22,CashOnHand,99093.82
2021-01-25,CashOnHand,99085.42
2021-01-25,CashOnHand,98998.42
2021-02-01,CashOnHand,98348.42
2021-02-01,CashOnHand,98304.42
2021-02-01,CashOnHand,98258.42
2021-02-01,CashOnHand,98258.42
2021-02-01,CashOnHand,98244.14
2021-02-01,CashOnHand,98384.14
2021-02-01,CashOnHand,98380.28
2021-02-02,CashOnHand,98334.51
2021-02-03,CashOnHand,98278.25
2021-02-03,CashOnHand,98253.04
2021-02-05,CashOnHand,98234.32
2021-02-05,CashOnHand,98254.18
2021-02-05,CashOnHand,98210.13
2021-02-09,CashOnHand,98193.07
2021-02-15,CashOnHand,94428.98
2021-02-15,CashOnHand,92386.52
2021-02-15,CashOnHand,92179.35
2021-02-15,CashOnHand,90858.05
2021-02-15,CashOnHand,89209.98
2021-02-16,CashOnHand,89193.1
2021-02-17,CashOnHand,89163.1
2021-02-22,CashOnHand,89158.87
2021-02-22,CashOnHand,89082.71
2021-02-25,CashOnHand,89074.31
2021-02-25,CashOnHand,88989.31
2021-03-01,CashOnHand,88339.31
2021-03-01,CashOnHand,88295.31
2021-03-01,CashOnHand,88249.31
2021-03-01,CashOnHand,88249.31
2021-03-01,CashOnHand,88235.03
2021-03-01,CashOnHand,88312.03
2021-03-01,CashOnHand,88309.61
2021-03-02,CashOnHand,88262.37
2021-03-04,CashOnHand,88211.12
2021-03-05,CashOnHand,88192.4
2021-03-07,CashOnHand,88153.6
2021-03-09,CashOnHand,88136.45
2021-03-09,CashOnHand,88112.77
2021-03-12,CashOnHand,88086.98
2021-03-15,CashOnHand,84322.89
2021-03-15,CashOnHand,82280.43
2021-03-15,CashOnHand,82073.26
2021-03-15,CashOnHand,82055.77
2021-03-16,CashOnHand,82038.64
2021-03-16,CashOnHand,81918.65
2021-03-19,CashOnHand,80597.35
2021-03-19,CashOnHand,78949.28
2021-03-22,CashOnHand,78940.28
2021-03-22,CashOnHand,78351.28
2021-03-22,CashOnHand,78347
2021-03-25,CashOnHand,78338.4
2021-03-26,CashOnHand,78198.5
2021-03-26,CashOnHand,78122.34
2021-03-29,CashOnHand,77872.34
2021-03-29,CashOnHand,75872.34
2021-03-29,CashOnHand,70688.34
2021-04-01,CashOnHand,70038.34
2021-04-01,CashOnHand,69994.34
2021-04-01,CashOnHand,69948.34
2021-04-01,CashOnHand,68967.78
2021-04-01,CashOnHand,68967.78
2021-04-01,CashOnHand,68953.5
2021-04-01,CashOnHand,68960.5
2021-04-01,CashOnHand,68960.01
2021-04-06,CashOnHand,126810.9
2021-04-06,CashOnHand,142560.9
2021-04-06,CashOnHand,142503.29
2021-04-06,CashOnHand,142454.48
2021-04-06,CashOnHand,142635.38
2021-04-07,CashOnHand,142611.7
2021-04-08,CashOnHand,142592.98
2021-04-09,CashOnHand,142575.76
2021-04-13,CashOnHand,142090.25
2021-04-15,CashOnHand,138326.16
2021-04-15,CashOnHand,136283.7
2021-04-15,CashOnHand,136076.53
2021-04-15,CashOnHand,135951.58
2021-04-16,CashOnHand,135941.5
2021-04-16,CashOnHand,135924.4
2021-04-19,CashOnHand,135787.83
2021-04-20,CashOnHand,135783.57
2021-04-20,CashOnHand,135763.27
2021-04-20,CashOnHand,134115.2
2021-04-20,CashOnHand,132793.9
2021-04-21,CashOnHand,137158.43
2021-04-23,CashOnHand,137084.58
2021-04-26,CashOnHand,137076.07
2021-05-01,CashOnHand,136426.07
2021-05-03,CashOnHand,136370.51
2021-05-03,CashOnHand,136323.01
2021-05-03,CashOnHand,136023.01
2021-05-03,CashOnHand,135979.01
2021-05-03,CashOnHand,135933.01
2021-05-03,CashOnHand,135933.01
2021-05-03,CashOnHand,135918.73
2021-05-03,CashOnHand,135925.73
2021-05-03,CashOnHand,135925.24
2021-05-06,CashOnHand,135627.71
2021-05-06,CashOnHand,135608.99
2021-05-06,CashOnHand,135585.31
2021-05-07,CashOnHand,133071.88
2021-05-07,CashOnHand,132775.87
2021-05-10,CashOnHand,132758.94
2021-05-10,CashOnHand,132740.31
2021-05-10,CashOnHand,133035
2021-05-11,CashOnHand,132738.62
2021-05-14,CashOnHand,132493.69
2021-05-15,CashOnHand,130451.23
2021-05-15,CashOnHand,130244.06
2021-05-15,CashOnHand,126479.97
2021-05-17,CashOnHand,124095.96
2021-05-17,CashOnHand,124079.05
2021-05-18,CashOnHand,124679.05
2021-05-20,CashOnHand,124674.86
2021-05-20,CashOnHand,123001.24
2021-05-20,CashOnHand,120572.17
2021-05-20,CashOnHand,118014.13
2021-05-25,CashOnHand,118005.75
2021-05-25,CashOnHand,117941.49
2021-05-28,CashOnHand,119741.49
2021-05-31,CashOnHand,119561.49
2021-06-01,CashOnHand,118911.49
2021-06-01,CashOnHand,118867.49
2021-06-01,CashOnHand,118821.49
2021-06-01,CashOnHand,118828.49
2021-06-01,CashOnHand,118828
2021-06-01,CashOnHand,118828
2021-06-01,CashOnHand,118813.72
2021-06-02,CashOnHand,133063.72
2021-06-02,CashOnHand,133016.84
2021-06-02,CashOnHand,132775.72
2021-06-03,CashOnHand,188875.27
2021-06-03,CashOnHand,188871.09
2021-06-04,CashOnHand,188814.58
2021-06-07,CashOnHand,188795.86
2021-06-08,CashOnHand,188589.91
2021-06-08,CashOnHand,188566.23
2021-06-09,CashOnHand,188549.43
2021-06-14,CashOnHand,186028.2
2021-06-14,CashOnHand,183760.65
2021-06-15,CashOnHand,181718.19
2021-06-15,CashOnHand,181511.02
2021-06-15,CashOnHand,177746.93
2021-06-15,CashOnHand,177729.44
2021-06-17,CashOnHand,177560.05
2021-06-21,CashOnHand,177555.75
2021-06-22,CashOnHand,177491.49
2021-06-23,CashOnHand,175059.9
2021-06-25,CashOnHand,175051.33
2021-06-25,CashOnHand,173730.03
2021-06-25,CashOnHand,172081.96
2021-06-28,CashOnHand,169352.94
2021-06-28,CashOnHand,169002.94
2021-06-30,CashOnHand,168957.27
2021-07-01,CashOnHand,168307.27
2021-07-01,CashOnHand,168263.27
2021-07-01,CashOnHand,168217.27
2021-07-01,CashOnHand,168224.27
2021-07-01,CashOnHand,168223.78
2021-07-01,CashOnHand,168223.78
2021-07-01,CashOnHand,168209.98
