date,assembly,revenue
"2020-12-10",1,
""2021-03-10",2,0.007
"2021-06-10",3,0.057
"2021-09-09",4,0.0011
"2021-12-09",5,0
"2022-03-10",6,0.03
"2022-05-12",7,0.109
"2022-09-08",8,0.213
"2022-12-08",9,0.245342401
"2023-03-07",10,0.7796634
"2023-06-28",11,0.442882179
"2023-09-27",12,0.143530016
"2024-01-03",13,0.974676285
"2024-03-31",14,1.139499059
